resource_id,network,station,channel,location,phase_time,oneset,polarity,evaluation_mode,evaluation_status,phase_type,azimuth,distance,takeoff_angle,time_residual,time_weight,time_correction
quakeml:nc.anss.org/Arrival/NC/109311944,NC,KCO,HNE,,2019-06-23T03:53:07.190,emergent,undecidable,manual,reviewed,S,122.6,0.03116,157.0,0.33,0.04,0.16
quakeml:nc.anss.org/Arrival/NC/109311949,BK,PETL,HHZ,00,2019-06-23T03:53:05.010,impulsive,positive,manual,reviewed,P,294.9,0.03561,154.0,-0.06,0.19,0.0
quakeml:nc.anss.org/Arrival/NC/109311954,BK,PETL,HNN,00,2019-06-23T03:53:06.770,impulsive,undecidable,manual,reviewed,S,294.9,0.03561,154.0,0.0,0.1,0.0
quakeml:nc.anss.org/Arrival/NC/109311959,CE,89101,HNZ,,2019-06-23T03:53:05.100,impulsive,negative,manual,reviewed,P,10.6,0.05234,143.0,-0.15,0.19,0.0
quakeml:nc.anss.org/Arrival/NC/109311964,CE,89101,HNE,,2019-06-23T03:53:07.050,impulsive,undecidable,manual,reviewed,S,10.6,0.05234,143.0,-0.04,0.1,0.0
quakeml:nc.anss.org/Arrival/NC/109311969,PB,B932,EHZ,,2019-06-23T03:53:05.190,impulsive,negative,manual,reviewed,P,88.6,0.06056,132.0,-0.12,0.1,-0.21
quakeml:nc.anss.org/Arrival/NC/109311974,PB,B932,EH2,,2019-06-23T03:53:07.010,emergent,undecidable,manual,reviewed,S,88.6,0.06056,132.0,-0.19,0.04,-0.37
quakeml:nc.anss.org/Arrival/NC/109311979,PB,B047,EHZ,,2019-06-23T03:53:06.030,impulsive,negative,manual,reviewed,P,103.1,0.1014,121.0,0.15,0.19,-0.07
quakeml:nc.anss.org/Arrival/NC/109311984,PB,B047,EH2,,2019-06-23T03:53:08.530,impulsive,undecidable,manual,reviewed,S,103.1,0.1014,121.0,0.32,0.1,-0.12
quakeml:nc.anss.org/Arrival/NC/109311989,NC,KMPB,HHZ,,2019-06-23T03:53:07.510,impulsive,positive,manual,reviewed,P,43.5,0.1986,98.0,-0.17,0.19,-0.09
quakeml:nc.anss.org/Arrival/NC/109311994,NC,KMPB,HNN,,2019-06-23T03:53:11.260,impulsive,undecidable,manual,reviewed,S,43.5,0.1986,98.0,-0.16,0.1,-0.16
